"Bean_ID","Title","Priority","Pattern_Number","Suggested_Verify_Command"
"1","Rush 1.0 Critical Features","P2","Pattern_7","cargo test"
"2","AI Agent Batteries Included","P1","Pattern_7","cargo test"
"3","Rush Shell Stability - Login Shell Ready","P2","Pattern_7","cargo test"
"4","Rush HN Readiness Cleanup","P1","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"5","Daemon Performance Optimization - Achieve <1ms Startup","P1","Pattern_4","hyperfine './target/release/rush -c echo' 'bash -c echo'"
"6","POSIX Compliance - Full Unix Shell Support","P1","Pattern_7","cargo test"
"7","User Guide - Common Tasks","P2","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"8","Configuration Guide","P2","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"9","Builtin Command Reference","P3","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"10","Troubleshooting Guide","P3","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"11","Migration Guide from Bash/Zsh","P2","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"12","Benchmark Reproducibility Suite","P1","Pattern_4","cargo build --release && ./target/release/rush --benchmark"
"13","Performance Profiling Built-in","P1","Pattern_4","cargo build --release && cargo bench"
"14","Rust-Quality Error Messages","P2","Pattern_6","cargo test stability_ && ./tests/integration_tests.sh"
"15","Time Builtin with Breakdown","P2","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"15.1","Pipeline stage timing breakdown in time builtin","P2","Pattern_2","echo ""cat | grep | sort"" | ./target/release/rush && cargo test"
"15.2","Time builtin comparison mode vs bash/zsh","P3","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"16","Script Compatibility Checker","P2","Pattern_2","./target/release/rush && cargo test"
"17","Advanced Shell Completion System","P3","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"18","Shell Foundation - Make Rush Actually Work","P1","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"19","Rush Scripting Support - Essential Builtins","P1","Pattern_2","./target/release/rush && cargo test"
"20","Text Processing Builtins (sed/awk)","P2","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"21","US-003: Robust Pipeline Implementation","P1","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"22","US-002: File Redirections","P2","Pattern_3","test -f docs/index.md && test -f README.md"
"22.1","Basic redirections: >, >>, 2>, <","P1","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"22.2","Advanced redirections: &>, combined, with pipes","P2","Pattern_2","echo ""echo test > /tmp/out"" | ./target/release/rush && cargo test"
"23","US-001: Script Execution","P1","Pattern_2","./target/release/rush && cargo test"
"24","US-004: Configuration File Support","P2","Pattern_3","test -f docs/index.md && test -f README.md"
"24.1","Config file loading: ~/.rushrc parsing and execution","P2","Pattern_2","./target/release/rush && cargo test"
"24.2","Config file features: aliases, functions, options","P2","Pattern_2","echo ""func() { echo test; }; func"" | ./target/release/rush && cargo test"
"25","US-005: Confirmation Prompts for Destructive Operations","P2","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"26","US-006: Better Error Messages with Suggestions","P3","Pattern_6","cargo test stability_ && ./tests/integration_tests.sh"
"27","US-008: Command Suggestions (Did You Mean?)","P3","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"28","US-007: CI/CD and Distribution","P4","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"28.1","GitHub Actions workflow setup for releases","P2","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"28.2","Pre-built binaries: macOS (Intel + ARM)","P2","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"28.3","Pre-built binaries: Linux (x86_64)","P2","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"28.4","Homebrew formula and installation testing","P2","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"29","Add custom themes and prompt configuration","P3","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"30","Improve pipeline support for complex multi-stage pipelines","P2","Pattern_2","echo ""cat | grep | sort"" | ./target/release/rush && cargo test"
"31","Implement plugin system for extensibility","P3","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"32","AI-001: Structured git log with JSON output","P1","Pattern_5","cargo build --release && ./target/release/rush -c 'json_query' | jq '.'"
"33","AI-010: Documentation and examples for AI agent integration","P3","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"34","AI-002: Structured git diff with JSON output","P1","Pattern_5","cargo build --release && ./target/release/rush -c 'json_query' | jq '.'"
"35","AI-003: Extend git_status with --json and full file listing","P1","Pattern_5","cargo build --release && ./target/release/rush -c 'git_status --json' | jq '.'"
"36","AI-004: JSON query and manipulation builtins","P2","Pattern_5","cargo build --release && ./target/release/rush -c 'json_query' | jq '.'"
"37","AI-005: Add --json flag to ls builtin","P2","Pattern_5","cargo build --release && ./target/release/rush -c 'json_query' | jq '.'"
"38","AI-006: Add --json flag to find and grep builtins","P2","Pattern_5","cargo build --release && ./target/release/rush -c 'json_query' | jq '.'"
"39","AI-007: HTTP fetch builtin with structured responses","P3","Pattern_5","cargo build --release && ./target/release/rush -c 'http_fetch --json https://...' | jq '.'"
"40","AI-008: Structured error responses with error types","P2","Pattern_5","cargo build --release && ./target/release/rush -c 'json_query' | jq '.'"
"41","AI-009: Performance benchmarking and optimization for AI agent workloads","P3","Pattern_4","cargo build --release && ./target/release/rush --benchmark"
"42","Fix 60x performance regression with external command output","P2","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"43","STABILITY-001: Non-TTY Mode Support","P1","Pattern_6","echo ""test"" | ./target/release/rush && cargo test"
"44","STABILITY-010: Error Recovery","P2","Pattern_6","cargo test stability_ && ./tests/integration_tests.sh"
"45","STABILITY-011: Login Shell Initialization","P3","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"46","STABILITY-012: Shell Options (set command)","P3","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"47","STABILITY-013: Integration Tests for Login Shell","P2","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"48","STABILITY-014: Real-World Stability Testing (1 Week Trial)","P2","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"49","STABILITY-002: Signal Handling","P1","Pattern_6","timeout 1 ./target/release/rush -c ""sleep 10"" || test $? -eq 130 && cargo test"
"50","STABILITY-003: File Redirection Support","P1","Pattern_3","test -f docs/index.md && test -f README.md"
"51","STABILITY-004: Subshell Support","P1","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"52","STABILITY-005: Exit Code Propagation","P1","Pattern_6","cargo test stability_ && ./tests/integration_tests.sh"
"53","STABILITY-006: Proper Variable Expansion","P2","Pattern_6","cargo test stability_ && ./tests/integration_tests.sh"
"54","STABILITY-007: Wildcard Expansion (Globbing)","P2","Pattern_6","cargo test stability_ && ./tests/integration_tests.sh"
"55","STABILITY-008: Command Substitution","P2","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"56","STABILITY-009: Job Control (Background Jobs)","P3","Pattern_6","cargo test stability_ && ./tests/integration_tests.sh"
"57","Delete junk files from repo","P1","Pattern_3","test -f docs/index.md && test -f README.md"
"58","Add LICENSE files","P0","Pattern_3","test -f LICENSE-MIT && test -f LICENSE-APACHE"
"59","Harden .gitignore","P1","Pattern_3","test -f .gitignore && grep -q ""target"" .gitignore"
"60","Clean docs/ directory","P2","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"61","Add Cargo.toml metadata and README badges","P2","Pattern_3","test -f README.md && test -f CONTRIBUTING.md && test -f CHANGELOG.md"
"62","Add CONTRIBUTING.md and CHANGELOG.md","P2","Pattern_3","test -f README.md && test -f CONTRIBUTING.md && test -f CHANGELOG.md"
"63","Audit and fix critical production panics","P1","Pattern_6","cargo test stability_ && ./tests/integration_tests.sh"
"64","Add configuration file support","P2","Pattern_3","test -f docs/index.md && test -f README.md"
"65","Fix tokenizer splitting paths on forward slash","P2","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"66","Binary Serialization for IPC Protocol","P2","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"67","Persistent Worker Process Pool","P1","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"68","Reusable Executor Instances","P2","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"69","Performance Benchmarking and Verification","P2","Pattern_4","cargo build --release && ./target/release/rush --benchmark"
"70","POSIX-001: Re-enable and test read builtin","P1","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"71","POSIX-010: Implement continue builtin","P1","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"72","POSIX-011: Implement colon (:) no-op builtin","P1","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"73","POSIX-012: Implement command builtin","P1","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"74","POSIX-013: Implement readonly builtin","P1","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"75","POSIX-014: Implement full positional parameters","P1","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"76","POSIX-015: Implement special variables","P1","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"77","POSIX-016: Implement here-documents","P1","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"78","POSIX-017: Implement while loop","P1","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"79","POSIX-018: Implement until loop","P1","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"80","POSIX-002: Re-enable and test return builtin","P1","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"81","POSIX-019: Implement case statement","P1","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"82","POSIX-020: Implement IFS field splitting","P1","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"83","POSIX-021: Implement process groups","P2","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"84","POSIX-022: Implement terminal control","P2","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"85","POSIX-023: Implement SIGCHLD handler","P2","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"86","POSIX-024: Implement terminal signals","P2","Pattern_6","timeout 1 ./target/release/rush -c ""sleep 10"" || test $? -eq 130 && cargo test"
"87","POSIX-025: Implement full job specifications","P2","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"88","POSIX-026: Implement arbitrary FD redirection","P2","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"89","POSIX-027: Implement standard shell variables","P2","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"90","POSIX-028: Audit and test quoting behavior","P2","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"91","POSIX-003: Re-enable and test shift builtin","P1","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"92","POSIX-029: POSIX test suite integration","P3","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"93","POSIX-004: Re-enable and test local builtin","P1","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"94","POSIX-005: Re-enable and test trap builtin","P1","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"95","POSIX-006: Re-enable and test eval builtin","P1","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"96","POSIX-007: Re-enable and test exec builtin","P1","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"97","POSIX-008: Re-enable and test kill builtin","P1","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"98","POSIX-009: Implement break builtin","P1","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"99","User Guide: Navigation and File Operations","P2","Pattern_3","test -f docs/index.md && test -f README.md"
"100","User Guide: Pipelines, Variables, and Job Control","P2","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"101","Configuration Guide: Init Files and Common Config","P2","Pattern_3","test -f docs/index.md && test -f README.md"
"102","Configuration Guide: Integrations and Example Configs","P2","Pattern_6","cargo test stability_ && ./tests/integration_tests.sh"
"103","Builtin Reference: Core Commands (cd, echo, export, exit, pwd)","P3","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"104","Builtin Reference: File and Search Commands","P3","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"105","Builtin Reference: Shell Control Commands","P3","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"106","Troubleshooting Guide: Common Errors and Recovery","P3","Pattern_6","cargo test stability_ && ./tests/integration_tests.sh"
"107","Troubleshooting Guide: Performance and Compatibility","P3","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"108","Migration Guide: Bash Users Quick Start","P2","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"109","Migration Guide: Zsh Users and Script Porting","P2","Pattern_2","./target/release/rush && cargo test"
"110","Add -c flag for non-interactive command execution","P2","Pattern_2","./target/release/rush && cargo test"
"111","Startup Optimization - Fast Path for -c Flag","P2","Pattern_4","hyperfine './target/release/rush -c echo' 'bash -c echo'"
"112","Add AI-powered command suggestions","P4","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"113","Benchmark runner script (rush --benchmark)","P1","Pattern_2","./target/release/rush && cargo test"
"114","Benchmark comparison mode (Rush vs bash/zsh)","P1","Pattern_4","cargo build --release && ./target/release/rush --benchmark"
"115","Benchmark report generation (markdown + HTML)","P2","Pattern_4","cargo build --release && ./target/release/rush --benchmark"
"116","Benchmark CI integration for regression tracking","P2","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"117","Profiling timing infrastructure in executor","P1","Pattern_4","cargo build --release && ./target/release/rush --time -c ""sleep 0.1"""
"118","profile builtin command for interactive profiling","P2","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"119","Profile JSON output for tooling integration","P2","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"120","Error context tracking in parser and executor","P1","Pattern_6","cargo test stability_ && ./tests/integration_tests.sh"
"121","Rich error types with visual error formatter","P1","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"122","Suggestion engine for command and flag typos","P2","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"123","Script error context with function stack traces","P2","Pattern_2","./target/release/rush && cargo test"
"124","Help text database for common errors","P3","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"125","Basic time builtin for command timing","P2","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"126","Pipeline stage timing breakdown in time builtin","P2","Pattern_2","echo ""cat | grep | sort"" | ./target/release/rush && cargo test"
"127","Time builtin comparison mode vs bash/zsh","P3","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"128","Bash script syntax analyzer for compatibility checking","P2","Pattern_2","./target/release/rush && cargo test"
"129","Rush compatibility database for bash features","P2","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"130","Auto-migration suggestions for bash-to-rush conversion","P3","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"131","Core completion engine with command and file completion","P3","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"132","Builtin flag and option completion","P3","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"133","Git-aware completion (branches, remotes, files)","P3","Pattern_3","test -f docs/index.md && test -f README.md"
"134","Custom completion script loading system","P3","Pattern_2","./target/release/rush && cargo test"
"135","Fuzzy matching and description hints for completions","P3","Pattern_2","./target/release/rush && cargo test"
"136","Implement job control (background jobs)","P2","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"137","Optional git2 Feature Flag for Binary Size","P2","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"138","Add shell script execution support","P2","Pattern_2","./target/release/rush && cargo test"
"139","US-001: Script Execution","P1","Pattern_2","./target/release/rush && cargo test"
"140","Fix test flakiness in parallel undo tests","P1","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"141","Custom Allocator (mimalloc) for Faster Startup","P0","Pattern_4","hyperfine './target/release/rush -c echo' 'bash -c echo'"
"142","Fix benchmark comparison script (compare.sh)","P1","Pattern_2","./target/release/rush && cargo test"
"143","Remove Unused Tokio Dependency","P0","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"144","FOUNDATION-001: Fix lexer dot-splitting in filenames","P1","Pattern_3","test -f docs/index.md && test -f README.md"
"145","FOUNDATION-010: Job control and background jobs","P2","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"146","FOUNDATION-011: Subshell execution","P2","Pattern_2","./target/release/rush && cargo test"
"147","FOUNDATION-005a: if/then/elif/else/fi syntax","P1","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"148","FOUNDATION-005b: while/until loop syntax","P1","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"149","FOUNDATION-005c: for loop syntax","P1","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"150","FOUNDATION-005d: case statement syntax","P1","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"151","FOUNDATION-FIX-001: Bracket test syntax [ ]","P1","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"152","FOUNDATION-FIX-002: Set command with positional parameters","P1","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"153","FOUNDATION-FIX-003: Absolute path command execution","P1","Pattern_2","./target/release/rush && cargo test"
"154","FOUNDATION-FIX-004: Command not found exit code (127)","P1","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"155","FOUNDATION-002: Implement glob expansion","P1","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"156","FOUNDATION-FIX-005: Bare filename argument parsing","P1","Pattern_3","test -f docs/index.md && test -f README.md"
"157","FOUNDATION-FIX-006: Git log builtin exit code","P1","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"158","FOUNDATION-003: Implement tilde expansion","P1","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"159","FOUNDATION-004: Fix variable assignment syntax","P1","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"160","FOUNDATION-005: POSIX control flow syntax","P1","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"161","FOUNDATION-006: Arithmetic expansion","P1","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"162","FOUNDATION-007: Function definitions","P2","Pattern_2","echo ""func() { echo test; }; func"" | ./target/release/rush && cargo test"
"163","FOUNDATION-008: Here-documents","P2","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"164","FOUNDATION-009: Command substitution in strings","P2","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"165","PHF or Static Array for Builtins Map","P1","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"166","Startup Optimization - Lazy Initialization","P1","Pattern_4","hyperfine './target/release/rush -c echo' 'bash -c echo'"
"167","Reduce baseline command execution overhead","P2","Pattern_2","./target/release/rush && cargo test"
"168","SCRIPT-001: read builtin","P1","Pattern_2","./target/release/rush && cargo test"
"169","SCRIPT-010: unset builtin","P2","Pattern_2","./target/release/rush && cargo test"
"170","SCRIPT-011: command builtin","P3","Pattern_2","./target/release/rush && cargo test"
"171","SCRIPT-012: builtin builtin","P3","Pattern_2","./target/release/rush && cargo test"
"172","SCRIPT-013: kill builtin","P3","Pattern_2","./target/release/rush && cargo test"
"173","SCRIPT-014: wait builtin","P3","Pattern_2","./target/release/rush && cargo test"
"174","SCRIPT-015: pushd/popd/dirs builtins","P4","Pattern_2","./target/release/rush && cargo test"
"175","SCRIPT-002: true/false builtins","P1","Pattern_2","./target/release/rush && cargo test"
"176","SCRIPT-003: return builtin","P1","Pattern_2","./target/release/rush && cargo test"
"177","SCRIPT-004: local builtin","P1","Pattern_2","./target/release/rush && cargo test"
"178","SCRIPT-005: shift builtin","P1","Pattern_2","./target/release/rush && cargo test"
"179","SCRIPT-006: trap builtin","P2","Pattern_2","./target/release/rush && cargo test"
"180","SCRIPT-007: printf builtin","P2","Pattern_2","./target/release/rush && cargo test"
"181","SCRIPT-008: eval builtin","P2","Pattern_2","./target/release/rush && cargo test"
"182","SCRIPT-009: exec builtin","P2","Pattern_2","./target/release/rush && cargo test"
"183","Add sed and awk alternative builtins","P2","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"184","UNIQUE-001: bench builtin","P4","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"185","UNIQUE-002: watch builtin","P4","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"186","Implement cross-session history sync","P3","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"187","Profile-Guided Optimization (PGO) Build","P3","Pattern_4","cargo build --release && cargo bench"
"188","Basic sed builtin: substitution and deletion","P2","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"189","Advanced sed: address ranges, hold space, multi-command","P2","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"190","Basic awk builtin: field splitting and pattern matching","P2","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"191","Advanced awk: variables, math, and built-in functions","P2","Pattern_2","echo ""func() { echo test; }; func"" | ./target/release/rush && cargo test"
"192","Advanced Shell Completion System","P3","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"rush-hn2.1","Profile JSON output for tooling integration","P2","Pattern_7","cargo test"
